classification,Account,realized_trades,total_net,total_pnl,win_rate
Extreme Fear,0x39cef799f8b69da1995852eea189df24eb5cae3c,1057,-76533.267964,-76179.494853,0.4768211920529801
Extreme Fear,0x513b8629fe877bb581bf244e326a047b249c4ff1,157,-71385.843115,-71121.820704,0.6687898089171974
Extreme Fear,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,187,-56997.245578,-56967.825773000004,0.15508021390374332
Extreme Fear,0xb899e522b5715391ae1d4f137653e7906c5e2115,830,-37477.539619,-33221.806818,0.6385542168674698
Extreme Fear,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,278,-25747.71952,-25666.012284,0.5935251798561151
Fear,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,156,-58307.745439,-58219.752261,0.32051282051282054
Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,477,-21968.659720000003,-19126.158064,0.8616352201257862
Fear,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,13,-16769.284549,-16719.913714000002,0.23076923076923078
Fear,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1572,-2126.37228,-1658.7368009999998,0.7977099236641222
Fear,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,7,-709.212623,-621.54506,0.0
Neutral,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,149,-91005.78960599999,-90302.553718,0.4563758389261745
Neutral,0x271b280974205ca63b716753467d5a371de622ab,235,-19261.567501,-19038.340561,0.0
Neutral,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,394,-12116.389814999999,-11933.080125,0.6598984771573604
Neutral,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,5,-4527.677666,-4526.698469,0.0
Neutral,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1197,-2877.368789,-2605.9564710000004,0.87468671679198
Greed,0x8170715b3b381dffb7062c0298972d4727a0a63b,1290,-360716.67810200003,-360101.898234,0.7007751937984497
Greed,0x271b280974205ca63b716753467d5a371de622ab,306,-102034.086455,-100019.806374,0.43137254901960786
Greed,0x8477e447846c758f5a675856001ea72298fd9cb5,3366,-24629.953344999998,-24036.539128,0.4025549613784908
Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,81,-3537.139234,-3531.989984,0.9135802469135802
Greed,0xbaaaf6571ab7d571043ff1e313a9609a10637864,3,4.61079,4.672458,0.3333333333333333
Extreme Greed,0x083384f897ee0f19899168e3b1bec365f52a9012,246,-40924.234898999995,-40282.335904,0.25609756097560976
Extreme Greed,0x8170715b3b381dffb7062c0298972d4727a0a63b,35,-19180.30142,-19135.913281,0.14285714285714285
Extreme Greed,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,7,9.769653000000012,11.717676000000012,0.2857142857142857
Extreme Greed,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1,14.974586,15.24474,1.0
Extreme Greed,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1,573.530225,573.585288,1.0
