trade_date,value,realized_trades,total_net,total_volume,win_rate,active_accounts
2023-12-14,72.0,6,-224.61883300000002,76736.39,0.6666666666666666,1
2023-12-15,70.0,2,-27.284523,10609.95,0.0,1
2023-12-17,73.0,11,288.491337,65965.81,0.6363636363636364,1
2023-12-19,73.0,10,985.0677450000001,61883.49,1.0,1
2023-12-20,74.0,8,145.00735,70899.75,1.0,1
2023-12-21,70.0,27,521.490022,62885.57,0.9629629629629629,1
2023-12-22,74.0,2,134.41293499999998,29678.96,1.0,1
2023-12-23,70.0,8,133.406299,54121.63,1.0,1
2023-12-24,71.0,17,958.12551,201977.83000000002,0.8823529411764706,1
2023-12-25,73.0,1,-252.54425899999998,29851.65,0.0,1
2023-12-27,73.0,13,-726.227479,85353.04000000001,0.3076923076923077,1
2023-12-28,73.0,13,-983.1241759999999,49573.24,0.0,1
2023-12-29,65.0,20,443.89854,260094.44,0.75,1
2023-12-30,68.0,33,260.7971109999999,376806.2,0.696969696969697,1
2024-01-01,65.0,6,-162.47475399999996,131773.19,0.16666666666666666,1
2024-01-02,71.0,9,768.908542,60282.32000000001,0.8888888888888888,1
2024-01-03,70.0,35,816.5948960000001,197682.46,0.8,1
2024-01-04,68.0,3,-80.069255,49862.47,0.0,1
2024-01-05,72.0,23,-48.89400399999998,852142.31,0.5652173913043478,1
2024-01-06,70.0,12,98.21724200000003,149457.71,0.8333333333333334,1
2024-01-07,71.0,37,-948.3773699999999,450784.62,0.24324324324324326,1
2024-01-08,71.0,67,-478.3096820000002,833741.07,0.47761194029850745,1
2024-01-09,76.0,28,-922.616139,385065.17,0.6428571428571429,1
2024-01-10,73.0,83,-1787.109512,1080072.8,0.4939759036144578,1
2024-01-11,76.0,9,-196.391416,129207.69,0.5555555555555556,1
2024-01-12,71.0,2,-1950.0386819999999,98078.63,0.0,1
2024-01-15,52.0,9,152.702423,629.86,1.0,1
2024-01-16,64.0,5,-2311.549871,95840.25,0.6,2
2024-01-17,60.0,19,713.060411,400854.83,0.5789473684210527,1
2024-01-18,63.0,9,19.03057100000001,199610.48,0.3333333333333333,1
2024-01-19,51.0,27,-441.82848900000005,225667.81,0.2222222222222222,2
2024-01-20,52.0,32,-272.88956499999995,505258.83999999997,0.46875,1
2024-01-21,56.0,5,265.79862299999996,3130.1,0.6,1
2024-01-22,55.0,41,1344.659987,132543.34,0.5609756097560976,2
2024-01-23,50.0,20,-419.7373979999998,201970.69,0.55,1
2024-01-24,48.0,40,-2949.007004,562612.83,0.25,1
2024-01-25,52.0,6,-3110.270917,66566.13,0.0,1
2024-01-26,49.0,1,90.29346,4673.0,1.0,1
2024-01-28,54.0,11,-2477.707544,18109.03,0.0,1
2024-01-29,55.0,45,434.83955699999996,206933.4,1.0,2
2024-01-30,61.0,19,-223.90291200000001,200994.94,0.2631578947368421,1
2024-01-31,60.0,436,-1589.060644,3156879.95,0.5298165137614679,1
2024-02-02,63.0,21,396.84095599999995,238330.11,0.6190476190476191,1
2024-02-03,60.0,12,173.089242,200879.81,0.5,1
2024-02-04,60.0,28,-2.922981000000024,202187.55,0.32142857142857145,1
2024-02-05,60.0,32,-129.7523570000001,385192.73,0.4375,1
2024-02-06,64.0,523,-669.0183539999999,4195712.78,0.3422562141491396,1
2024-02-07,62.0,2,240.802434,1758.75,1.0,1
2024-02-08,66.0,4,767.4931449999999,13051.52,1.0,1
2024-02-11,71.0,7,980.667916,11101.050000000001,1.0,1
2024-02-12,70.0,15,886.5698779999998,217247.8,0.4,1
2024-02-13,79.0,14,559.483882,1999.99,1.0,1
2024-02-14,74.0,84,3817.148505,112259.96,0.9880952380952381,2
2024-02-15,72.0,60,1809.316755,146456.72,0.95,2
2024-02-16,72.0,146,5484.867118,231033.08,1.0,1
2024-02-17,76.0,65,1878.04575,254045.03,0.9384615384615385,2
2024-02-18,72.0,68,479.1906479999999,78292.06,0.8970588235294118,1
2024-02-19,75.0,79,4307.062651,155852.61,0.9746835443037974,2
2024-02-20,72.0,32,3259.400757,61558.26,0.96875,2
2024-02-21,78.0,15,1857.367511,49950.35,1.0,1
2024-02-22,74.0,54,3890.253238,211464.85,0.7407407407407407,1
2024-02-23,76.0,138,1419.502949,55112.47,0.9927536231884058,1
2024-02-25,74.0,2,-30.725392,2255.4500000000003,0.0,1
2024-02-26,72.0,34,4414.983883,94129.97,1.0,1
2024-02-27,79.0,42,890.0213940000001,96764.54000000001,0.6190476190476191,2
2024-02-28,82.0,39,2503.412185,85496.98,1.0,1
2024-02-29,80.0,100,9811.252888,225165.67,1.0,2
